Date et heure;Production totale;Consommation totale;Auto-consommation;Energie inject�e dans le r�seau;Energie provenant du r�seau
[dd.MM.yyyy];[Wh];[Wh];[Wh];[Wh];[Wh]
22.09.2021;19000.5617;512.5617;375.5617;18625.0;137.0
23.09.2021;14490.6878;468.6878;330.6878;14160.0;138.0
24.09.2021;7138.7411;397.7411;262.7411;6876.0;135.0
25.09.2021;19149.4161;431.4161;296.4161;18853.0;135.0
26.09.2021;19121.3750;449.3750;289.3750;18832.0;160.0
27.09.2021;18515.7611;497.7611;357.7611;18158.0;140.0
28.09.2021;16535.3778;766.3778;624.3778;15911.0;142.0
29.09.2021;18643.9581;455.9581;318.9581;18325.0;137.0
30.09.2021;17873.5822;763.5822;624.5822;17249.0;139.0
01.10.2021;16404.5775;433.5775;290.5775;16114.0;143.0
02.10.2021;15454.9614;409.9614;270.9614;15184.0;139.0
03.10.2021;14904.3764;407.3764;266.3764;14638.0;141.0
04.10.2021;19008.2525;460.2525;319.2525;18689.0;141.0
05.10.2021;19185.5428;452.5428;313.5428;18872.0;139.0
06.10.2021;16072.1714;417.1714;278.1714;15794.0;139.0
07.10.2021;15119.1828;471.1828;330.1828;14789.0;141.0
08.10.2021;17905.2347;493.2347;351.2347;17554.0;142.0
09.10.2021;18007.2428;438.2428;294.2428;17713.0;144.0
10.10.2021;15586.6961;415.6961;271.6961;15315.0;144.0
11.10.2021;12099.1981;378.1981;234.1981;11865.0;144.0
12.10.2021;17328.5753;554.5753;407.5753;16921.0;147.0
13.10.2021;12648.0992;409.0992;257.0992;12391.0;152.0
14.10.2021;15557.0394;771.0394;622.0394;14935.0;149.0
15.10.2021;14458.5314;2330.5314;2181.5314;12277.0;149.0
16.10.2021;18034.9992;442.9992;296.9992;17738.0;146.0
17.10.2021;16508.7336;419.7336;276.7336;16232.0;143.0
18.10.2021;17746.2342;830.2342;686.2342;17060.0;144.0
19.10.2021;17720.5814;442.5814;297.5814;17423.0;145.0
20.10.2021;16989.4775;436.4775;286.4775;16703.0;150.0
21.10.2021;16186.3050;491.3050;345.3050;15841.0;146.0
22.10.2021;13194.4531;698.4531;550.4531;12644.0;148.0
23.10.2021;18214.5542;432.5542;287.5542;17927.0;145.0
24.10.2021;17934.5319;435.5319;288.5319;17646.0;147.0
25.10.2021;9363.3581;494.3581;337.3581;9026.0;157.0
26.10.2021;14074.7439;1722.7439;1034.7439;13040.0;688.0
27.10.2021;15393.6017;2495.6017;2330.6017;13063.0;165.0
28.10.2021;10132.0389;94.0389;353.3507;10186.0;148.0
29.10.2021;15425.5419;1660.5419;1514.5419;13911.0;146.0
30.10.2021;16988.3192;1990.3192;1843.3192;15145.0;147.0
31.10.2021;16177.1606;412.1606;264.1606;15913.0;148.0
01.11.2021;13114.8616;1063.8616;907.8616;12207.0;156.0
02.11.2021;14888.8472;2015.8472;1856.8472;13032.0;159.0
03.11.2021;9490.6919;2217.6919;1436.6919;8054.0;781.0
04.11.2021;11088.0197;3185.4190;2639.0073;8454.1863;551.5857
05.11.2021;16739.4294;1214.4294;1038.4294;15701.0;176.0
06.11.2021;17227.4214;419.4214;270.4214;16957.0;149.0
07.11.2021;18054.5939;410.5939;261.5939;17793.0;149.0
08.11.2021;17603.7144;18867.7144;10118.7144;7485.0;8749.0
09.11.2021;17215.7403;20147.7403;7331.7403;9884.0;12816.0
10.11.2021;17231.5789;17074.5789;6895.5789;10336.0;10179.0
11.11.2021;17100.4914;17455.4914;6836.4914;10264.0;10619.0
12.11.2021;15694.7647;11162.7647;5663.7647;10031.0;5499.0
13.11.2021;15138.5769;396.5769;243.5769;14895.0;153.0
14.11.2021;16431.4431;411.4431;259.4431;16172.0;152.0
15.11.2021;14720.6139;406.6139;253.6139;14467.0;153.0
16.11.2021;14602.8642;400.8642;247.8642;14355.0;153.0
17.11.2021;15250.2353;13811.2353;7433.2353;7817.0;6378.0
18.11.2021;15467.0636;20878.0636;8434.0636;7033.0;12444.0
19.11.2021;8884.0778;19654.0778;6038.0778;2846.0;13616.0
20.11.2021;14501.7628;19693.7628;6685.7628;7816.0;13008.0
21.11.2021;5503.8831;19307.8831;5095.8831;408.0;14212.0
22.11.2021;15245.8117;18288.8117;6293.8117;8952.0;11995.0
23.11.2021;1735.1783;17777.1783;1735.1783;0.0;16042.0
24.11.2021;8069.6950;19172.6950;5600.6950;2469.0;13572.0
25.11.2021;7386.4578;19706.4578;5383.4578;2003.0;14323.0
26.11.2021;7783.7514;16512.7514;4431.7514;3352.0;12081.0
27.11.2021;12925.7181;7704.7181;1280.7181;11645.0;6424.0
28.11.2021;16108.4594;402.4594;244.4594;15864.0;158.0
29.11.2021;7971.6672;7350.6672;5438.6672;2533.0;1912.0
30.11.2021;10295.9239;2325.9239;908.9239;9387.0;1417.0
01.12.2021;11559.2039;6548.2039;3940.2039;7619.0;2608.0
02.12.2021;2929.5119;8083.5119;2709.5119;220.0;5374.0
03.12.2021;16498.5389;1018.5389;842.5389;15656.0;176.0
04.12.2021;16455.9278;413.9278;256.9278;16199.0;157.0
05.12.2021;12005.9422;379.9422;221.9422;11784.0;158.0
06.12.2021;12419.43;2675.43;1049.43;11370.0;1626.0
07.12.2021;16048.0175;6143.0175;5348.0175;10700.0;795.0
08.12.2021;9313.95;5529.95;4723.95;4590.0;806.0
09.12.2021;15421.6353;1113.6353;934.6353;14487.0;179.0
10.12.2021;4518.1331;12046.1331;3661.1331;857.0;8385.0
11.12.2021;14474.3389;14614.3389;7364.3389;7110.0;7250.0
12.12.2021;15820.8419;2919.8419;2759.8419;13061.0;160.0
13.12.2021;14923.1047;14237.1047;7210.1047;7713.0;7027.0
14.12.2021;11150.4142;12960.4142;5549.4142;5601.0;7411.0
15.12.2021;14031.0803;7337.0803;6470.0803;7561.0;867.0
